"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tmc4",5.13584325146747e-134,5.42767250742383,0.431,0.016,1.19716506191707e-129
"Tg",0.0116382952471116,5.34037955449718,0.052,0.187,1
"Nrbp2",4.29440345627791e-81,5.29098383545545,0.207,0.006,1.00102544565838e-76
"Plk2",2.05173873366898e-81,5.22744425806237,0.31,0.014,4.78260298818239e-77
"Cds1",7.23004035778703e-89,5.16987474995618,0.241,0.008,1.68532240740016e-84
"Tnip3",1.96554530908108e-36,5.12341543886352,0.172,0.01,4.581686115468e-32
"Marco",0.0230030275398113,-2.49144990438499,0.052,0.156,1
"Kctd12",4.29237114954924e-06,-2.49305574811796,0.034,0.33,0.100055171495993
"Plekha6",0.00137689878615652,-2.49326282362297,0.034,0.202,1
"Cd300c2",6.54344281642967e-08,-2.50255059201531,0.086,0.447,0.00152527652050976
"Adrb1",0.00291316520416554,-2.51203445250045,0.017,0.161,1
"Pltp",3.26716502712701e-07,-2.51637108660216,0.034,0.371,0.00761576167823306
"Clec4a2",4.33454308721928e-07,-2.5191702135848,0.052,0.39,0.0101038199363081
"Pex11a",0.000487648339186956,-2.52854580054826,0.034,0.225,1
"Gbp7",0.00273140553045409,-2.53509778928782,0.017,0.162,1
"Il10ra",0.00243967859817436,-2.5612591104642,0.017,0.165,1
"Sh3bp5",4.64859665143064e-05,-2.57097923663082,0.052,0.294,1
"Eepd1",0.00281514853056967,-2.57159223644496,0.017,0.161,1
"Vrk1",3.36020447919777e-05,-2.58683318783165,0.052,0.3,0.783263664100999
"Csf2rb2",1.10876964680847e-07,-2.58816671554727,0.034,0.395,0.00258454204671055
"Sdf2l1",0.00167594652652388,-2.59662404257757,0.017,0.173,1
"Abracl",9.11914908369753e-09,-2.5990313433879,0.069,0.466,0.00021256736514099
"Hcar2",0.000126614272353213,-2.61877932642374,0.017,0.235,1
"Esyt1",9.07225117470014e-10,-2.61927353208655,0.103,0.52,2.1147417488226e-05
"Evi2a",0.00129081583178663,-2.63818261228777,0.017,0.179,1
"Neu1",0.000119195257187728,-2.64929796000887,0.034,0.254,1
"Prag1",0.00147683724500655,-2.64960765090646,0.017,0.176,1
