"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CXCL5",3.05268571776874,1.4654729488307,0.454401565775893,3.22506139768334,0.00125945655226792,0.0241415500637156
"CXCR2P1",402.298937892021,1.75492592822742,0.2575983925023,6.81264316589921,9.5821616267435e-12,1.19533406055648e-09
"DDX58",1009.22252749322,1.73356869602934,0.142409496258084,12.1731256803806,4.3220878969979e-34,2.27218335156461e-31
"DDX60",799.371280491258,2.13869885651569,0.173619331705534,12.3183221332922,7.2180445839003e-35,3.98436061031297e-32
"DDX60L",1212.50732108947,1.25965262504907,0.118274977533137,10.6502038835404,1.73983581823732e-26,5.73366789054927e-24
"DHCR24",85.3402968963265,1.31978525044698,0.440421515513162,2.99664118114034,0.00272971805987157,0.0434864175771747
"DHX58",451.385660324942,1.76668559408395,0.129116357288907,13.6828952673352,1.28473544911681e-42,1.09103687371151e-39
"DTX3L",1698.49548040112,1.21585226405683,0.101459581737155,11.9836120279567,4.3303650674703e-33,2.03435022744137e-30
"DUBR",4.42590141406823,1.68938359283712,0.466730310424422,3.61961405785041,0.000295042741031864,0.00790599966260139
"EIF2AK2",1605.44455672888,1.85793930217962,0.110135605372364,16.8695609008367,7.53544328197798e-64,1.66382587666074e-59
"ELOVL3",55.0817940803852,1.39780921253351,0.332628074587323,4.20231880387039,2.6419470235111e-05,0.00105106649151577
"EMP1",168.271727474265,1.03231205660131,0.322654869819048,3.1994311977385,0.00137699049498757,0.0256141113136694
"EPHB2",109.911665629359,1.28121223803057,0.250850517749326,5.10747296647354,3.26495790068653e-07,2.03071184358193e-05
"EPSTI1",1397.52555368874,2.59410949141988,0.178434438684853,14.5381660095422,6.94279004061862e-48,9.01745906452112e-45
"ERMN",37.0632500480882,1.58294643779927,0.432643237428147,3.65878003134665,0.000253418734120942,0.0069509138501744
"ETV7",199.439133950931,3.30089202393823,0.31380142678809,10.5190472131516,7.05837212895168e-26,2.22641223724647e-23
"EXOC3L1",47.0060248400714,1.52735420752073,0.263215829104388,5.80266852764013,6.52677391424198e-09,5.60743844460945e-07
"FAM20A",39.9716901310638,2.62157988534713,0.657474914546905,3.98734587030408,6.68165839315772e-05,0.0023233231074161
"FAM69A",80.9353874789479,1.09867586298267,0.258256036563109,4.25421174120044,2.09786717539938e-05,0.000848368264337333
"FFAR2",196.223497014628,1.22510518421776,0.193708141638637,6.32448989419969,2.5407047859304e-10,2.73652495967528e-08
"FFAR3",11.9111477178349,3.07808289887163,0.81816967861719,3.7621571408928,0.000168454148514564,0.00497255026631225
"FLNB",123.31918488676,1.0934046506876,0.315137075831447,3.46961603233385,0.000521202883954438,0.0125088692149065
"GAPDHP46",4.11242861981626,1.79613122831461,0.273365433165532,6.57044018885517,5.01667326208936e-11,5.76917425140276e-09
"GBP1",1317.94203260493,2.08550780716693,0.193602947270129,10.77208708118,4.66308948081084e-27,1.60876587087974e-24
"GBP1P1",147.340847454924,1.97232050526907,0.209138452167161,9.43069284883406,4.07388969747254e-21,1.02217596045675e-18
"GBP3",319.856153743867,1.13499997437252,0.181865142742453,6.24088793078857,4.35093904361365e-10,4.51026920577415e-08
"GBP4",966.904339961315,1.45630089476674,0.187680088214877,7.75948534881014,8.52747159423521e-15,1.4156885172986e-12
"GBP5",677.99532662279,1.73329547758031,0.207546513924552,8.35135914742658,6.74818857685059e-17,1.28448279117984e-14
"GBP7",5.95635187774962,1.36068762549139,0.337599529747439,4.03047843848991,5.56634351606353e-05,0.00198553901186886
"GMPR",245.565625559527,3.4147077630111,0.327553008551351,10.4249012338892,1.90857522060104e-25,5.69477579336094e-23
"GPR42",9.2500024759197,2.55666031264554,0.862069736609427,2.96572330992738,0.00301972029449125,0.0472532846624019
"HAPLN3",16.953435960227,2.18797407986284,0.662427367749271,3.30296450054127,0.0009566849806903,0.0197232533834191
"HEG1",45.2523648490564,1.33614370240116,0.40123553343488,3.33007321401162,0.000868231513755801,0.0182402966924149
"HELZ2",226.042281811459,1.62459430346299,0.144667579086763,11.2298437128657,2.90992798765806e-29,1.14734303513375e-26
"HERC5",732.556120775153,2.64545124655325,0.235905062208598,11.2140503547737,3.47900527977268e-29,1.34765678205931e-26
