"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IFITM3",10720.620180549,1.55752167226221,0.293423230857982,5.30810620450178,1.10770096682971e-07,0.000144997453082832
"ISG15",3090.61070441398,1.65769357811914,0.31250451077447,5.30454288167209,1.12955689236171e-07,0.000144997453082832
"KLHDC7B",239.852138010722,1.11184217707852,0.261098136768955,4.25833056810508,2.05959234421911e-05,0.00660957509798982
"LGALS3BP",1323.05999157055,2.30240327249442,0.386426055798011,5.9581988273014,2.55033120665893e-09,7.01523248345966e-06
"LINC00487",10.2634833142377,5.06525134945304,1.28781716871477,3.93320688099548,8.38200365473463e-05,0.01992536794715
"LY6E",7189.16804530789,1.63698716364885,0.318357411502246,5.14197912316327,2.71859332225966e-07,0.000261732572100549
"MX1",4371.00056778143,1.32631934328338,0.314762994355468,4.21370798685927,2.51212037527642e-05,0.00738948421610169
"NCOA7",717.289956122401,1.36508769177101,0.231528091416828,5.89599164152138,3.72437826384354e-09,8.05042007696918e-06
"NEXN",193.077155706399,1.2593008921001,0.284316817872197,4.42921703163604,9.45758124183205e-06,0.00364211453622952
"NRIR",50.6319555264475,1.81278795323718,0.494600131564954,3.66515865554134,0.000247185298410443,0.0406799394948127
"OAS2",2263.58815115795,1.16962592797381,0.249573670595918,4.68649567552958,2.77922689144041e-06,0.0014865003831857
"OAS3",2908.36441983342,1.37071289980429,0.291547762259848,4.70150375766771,2.58252510771482e-06,0.0014207577414014
"OASL",1378.127641864,1.66085327323973,0.305274898710713,5.44051699060133,5.31261725580451e-08,8.52453710504299e-05
"OTOF",265.461089846287,5.98287220690639,0.86934305633859,6.88206130282381,5.89926144170252e-12,5.6795139529991e-08
"RBP4",5.17304775298589,4.56957179704799,1.24838102397686,3.66039831532451,0.000251823476669633,0.0407467314560822
"RNASE1",139.670600355477,1.51920276452921,0.341195678537795,4.45258501233018,8.48426317889705e-06,0.00333396913285026
"RORA",5.49391780425574,2.04888972532278,0.548040693278093,3.73857224555241,0.000185068311523692,0.0339411216532685
"RP11-273G15.2",10.6835818285944,2.03046022531531,0.41591418534031,4.88192107141993,1.05057308322353e-06,0.00072245659705247
"RP11-467L13.5",318.853287996044,1.66526460152775,0.373697144955413,4.45618764822632,8.34300117131202e-06,0.00333396913285026
"RP13-977J11.5",6.78754507006395,1.00123731866715,0.26434279881961,3.78764741516715,0.000152080455246236,0.030824307008066
"RP4-725G10.3",110.881158643563,1.52884602431683,0.294819271254976,5.1857058658645,2.15198221974693e-07,0.000230202320229039
"RSAD2",1264.81259021471,2.20618920919245,0.385523186828684,5.72258500802655,1.04915318780181e-08,2.02014446311238e-05
"SAMD9L",1241.89559599774,1.09604083112864,0.243233832849807,4.50611996812723,6.6023768609025e-06,0.00299505393062035
"SERPING1",1277.35991425098,1.67396255893057,0.329969253480927,5.07308648085094,3.91414504231334e-07,0.000358889822808302
"SIGLEC1",1648.55918470399,2.38736680202103,0.405030118428794,5.8942945064979,3.76285539821982e-09,8.05042007696918e-06
"SPATS2L",223.727083049515,1.4525778562266,0.274850360375598,5.28497708440902,1.25720493899116e-07,0.000151296756876718
"USP18",485.046945284071,2.40749812163999,0.453295569691427,5.31110004732421,1.08965486740303e-07,0.000144997453082832
"USP41",86.7710386703355,2.36114298604468,0.458507624573986,5.14962643912082,2.61005774901372e-07,0.000261732572100549
"ZBP1",163.93796123399,1.40851097181931,0.281831084998166,4.99771333537773,5.80141413231566e-07,0.000485679257033644
